Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
31250346,858948,0,0.23,5.16,59030467920.63,0,-2.18,0,0,3187,
31250746,858940,0,0.23,5.16,59029860328.57,0,-2.18,0,0,3187,
31251146,858931,0,0.23,5.16,59029252704.36,0,-2.18,0,0,3187,
31251546,858922,0,0.23,5.16,59028645047.93,0,-2.18,0,0,3187,
31251946,858913,0,0.23,5.16,59028037359.36,0,-2.18,0,0,3187,
31252346,858904,0,0.23,5.16,59027429638.54,0,-2.18,0,0,3187,
31252746,858895,0,0.23,5.16,59026821885.61,0,-2.18,0,0,3187,
31253146,858886,0,0.23,5.16,59026214100.47,0,-2.18,0,0,3187,
31253546,858877,0,0.23,5.16,59025606283.15,0,-2.18,0,0,3187,
31253946,858868,0,0.23,5.16,59024998433.65,0,-2.18,0,0,3187,
31254346,858860,0,0.23,5.16,59024390551.95,0,-2.18,0,0,3187,
31254746,858851,0,0.23,5.16,59023782638.08,0,-2.18,0,0,3187,
31255146,858842,0,0.23,5.16,59023174692.01,0,-2.18,0,0,3187,
31255546,858833,0,0.23,5.16,59022566713.76,0,-2.18,0,0,3187,
31255946,858824,0,0.23,5.16,59021958703.36,0,-2.18,0,0,3187,
31256346,858815,0,0.23,5.16,59021350660.72,0,-2.18,0,0,3188,
31256746,858806,0,0.23,5.16,59020742585.91,0,-2.18,0,0,3188,
31257146,858797,0,0.23,5.16,59020134478.94,0,-2.18,0,0,3188,
31257546,858788,0,0.23,5.16,59019526339.75,0,-2.18,0,0,3188,
31257946,858780,0,0.23,5.16,59018918168.4,0,-2.18,0,0,3188,
31258346,858771,0,0.23,5.16,59018309964.86,0,-2.18,0,0,3188,
31258746,858762,0,0.23,5.16,59017701729.09,0,-2.18,0,0,3188,
31259146,858753,0,0.23,5.16,59017093461.16,0,-2.18,0,0,3188,
31259546,858744,0,0.23,5.16,59016485161.05,0,-2.18,0,0,3188,
31259946,858735,0,0.23,5.16,59015876828.74,0,-2.18,0,0,3188,
31260346,858726,0,0.23,5.16,59015268464.24,0,-2.18,0,0,3188,
31260746,858717,0,0.23,5.16,59014660067.55,0,-2.18,0,0,3188,
31261146,858708,0,0.23,5.16,59014051638.67,0,-2.18,0,0,3188,
31261546,858699,0,0.23,5.16,59013443177.59,0,-2.18,0,0,3188,
31261946,858690,0,0.23,5.16,59012834684.32,0,-2.18,0,0,3188,
31262346,858682,0,0.23,5.16,59012226158.84,0,-2.18,0,0,3188,
31262746,858673,0,0.23,5.16,59011617601.23,0,-2.18,0,0,3189,
31263146,858664,0,0.23,5.16,59011009011.37,0,-2.18,0,0,3189,
31263546,858655,0,0.23,5.16,59010400389.31,0,-2.18,0,0,3189,
31263946,858646,0,0.23,5.16,59009791735.1,0,-2.18,0,0,3189,
31264346,858637,0,0.23,5.16,59009183048.65,0,-2.18,0,0,3189,
31264746,858628,0,0.23,5.16,59008574330.04,0,-2.18,0,0,3189,
31265146,858619,0,0.23,5.16,59007965579.19,0,-2.18,0,0,3189,
31265546,858610,0,0.23,5.16,59007356796.2,0,-2.18,0,0,3189,
31265946,858601,0,0.23,5.16,59006747981,0,-2.18,0,0,3189,
31266346,858593,0,0.23,5.16,59006139133.55,0,-2.18,0,0,3189,
31266746,858584,0,0.23,5.16,59005530253.95,0,-2.18,0,0,3189,
31267146,858575,0,0.23,5.16,59004921342.15,0,-2.18,0,0,3189,
31267546,858566,0,0.23,5.16,59004312398.16,0,-2.18,0,0,3189,
31267946,858557,0,0.23,5.16,59003703421.95,0,-2.18,0,0,3189,
31268346,858548,0,0.23,5.16,59003094413.56,0,-2.18,0,0,3189,
